P,Type,Title,Assignee,Status,7D views,ID,Last Modified,,,
P2,Bug,"Step ""expected_color_pixel_validating_test on Android device Pixel 2"" failing on builder ""chromium/ci/Android Release (Pixel 2)""",--,New,0,426594100,"Jun 23, 2025 11:11AM",,,
,,,,,,,,,,
P2,Bug,WebRtcDataBrowserTest.CallWithSctpDataAndMedia fails on Pixel 7,--,New,0,427258783,"Sep 26, 2025 03:49PM",,,
,,,,,,,,,,
P2,Bug,Box shadow appears in a inside of an outline during sub-pixel transform: translate(),--,New,0,427424624,"Jun 26, 2025 05:09PM",,,
,,,,,,,,,,
P2,Bug,Live notifications stuck on Pixel 7 QPR 1 Beta 2.1,--,New,0,427808173,"Jun 26, 2025 02:43PM",,,
,,,,,,,,,,
P1,Bug,Pixel 4: i32_arithmetic:remainder_vector_scalar_compound failures,--,New,1,428272877,"Nov 17, 2025 09:44PM",,,
,,,,,,,,,,
P2,Bug,Testcase applying empty animations to N pixels uses more CPU with Chrome compared to Firefox,--,New,0,428740147,"Jul 4, 2025 12:38AM",,,
,,,,,,,,,,
P3,Bug,Gestures are not working on my Pixel 9 Pro,--,New,0,429272275,"Jul 17, 2025 03:08AM",,,
,,How to deploy AICore/Gemini Nano on Pixel/Other devices?,,,,,,,,
P2,Bug,Dual SIM call drop issue persists on Pixel 6a even in Android 16 Beta version (QPR builds).,--,New,0,430800812,"Aug 5, 2025 09:32AM",,,
P2,Bug,,--,New,0,431021034,"Jul 13, 2025 12:33PM",,,
P3,Bug,"workgroupUniformLoad ""ComplexStruct"" failures on Pixel 4",--,New,4,432294346,"Nov 26, 2025 09:06PM",,,
,,Gemini Nano Testing on Google Pixel 8 Pro,,,,,,,,
P2,Bug,"Photo App Permission Stuck on ""Allow limited access"" with No Option to Change on Pixel 8a Android 16",--,New,0,432502917,"Jul 18, 2025 08:40AM",,,
P3,Bug,,--,New,0,435196927,"Jul 30, 2025 10:54PM",,,
P2,Bug,Battery life degraded after qpri3 installed on my pixel 6 pro,--,New,0,435768044,"Aug 7, 2025 04:06AM",,,
,,,,,,,,,,
P2,Bug,Video-related pixel/trace tests crashing on NVIDIA Shield TV devices w/ Android R,--,New,0,436750001,"Nov 8, 2025 01:37AM",,,
,,Screen Flickering After Android 16 Update on Pixel 8,,,,,,,,
P2,Bug,,--,New,0,436880903,"Aug 7, 2025 02:34AM",,,
P2,Bug,Battery Draining Quickly After Android 16 Update on Pixel 8,--,New,0,436887353,"Aug 7, 2025 02:38AM",,,
,,Pixel 11 Katha pixel 12 dikha raha hai phone Nokia 2.4,,,,,,,,
P2,Bug,NFC antenna location error in Google pixel 8,--,New,0,438116247,"Aug 12, 2025 08:25PM",,,
P3,Bug,,--,New,2,438220637,"Aug 14, 2025 04:40AM",,,
P2,Bug,[SystemUI][StatusBar][Pixel]The status bar shows an overlap in editing QuickTile and then click the Home key in Android16.,--,New,0,438844163,"Aug 15, 2025 07:37AM",,,
,,boot fail after flashing AOSP 15 userdebug into Pixel 8,,,,,,,,
P2,Bug,NestedScrollInteropConnectionTest failures on Pixel 9 Pro XL,--,New,0,439515460,"Aug 18, 2025 04:58PM",,,
P2,Bug,,--,New,0,439654341,"Aug 28, 2025 07:21PM",,,
P2,Bug,CreateComputePipelines failed with VK_ERROR_INITIALIZATION_FAILED when bool(...) wraps both sides of || (Pixel 9a),--,New,0,440321528,"Sep 8, 2025 11:39PM",,,
,,Pixel 8 pro failed wifi,,,,,,,,
P2,Bug,NFC antenna location is not correct in Samsung and pixel devices.,--,New,0,441284621,"Sep 19, 2025 09:56AM",,,
P2,Bug,,--,New,4,441549149,"Aug 28, 2025 11:30AM",,,
P2,Bug,"Fix the WebGPU ""particle"" sample rand() for Pixel 10",--,New,0,441752168,"Sep 22, 2025 10:03PM",,,
,,,,,,,,,,
P2,Bug,components_unittests on Android device Pixel 4 failed because of: ModelExecutionFeaturesControllerTest.HistorySearchVisibilityWithXNNPACK,--,New,0,444386546,"Sep 11, 2025 06:26PM",,,
,,,,,,,,,,
P2,Bug,Android WebView: low frame rate when playing two or more videos in Frame Rendering Stats on Pixel 6,--,New,0,445357440,"Sep 22, 2025 11:11PM",,,
,,Pixel 6a Black screen then locking up,,,,,,,,
P2,Bug,Pixel 6 random popping noise,--,New,0,445733633,"Sep 18, 2025 03:26AM",,,
P2,Bug,,--,New,0,445992573,"Sep 19, 2025 10:22AM",,,
P2,Bug,gl_tests_passthrough failures on Pixel 10,--,New,0,445967248,"Sep 27, 2025 03:39AM",,,
,,,,,,,,,,
P2,Bug,ExpectedColor_MediaRecorderFromVideoElement fails on Pixel 10,--,New,0,446124895,"Sep 27, 2025 03:39AM",,,
,,,,,,,,,,
P2,Bug,webgl_conformance_gles_passthrough_tests failures on Pixel 10,--,New,0,446122639,"Oct 22, 2025 01:47PM",,,
,,Pixel book Go M3 Power On Quirk,,,,,,,,
P2,Bug,,--,New,0,446113736,"Sep 19, 2025 10:36PM",,,
P2,Bug,android_webview_pixel_skia_gold_test failures on Pixel 10,--,New,0,446181110,"Sep 27, 2025 03:39AM",,,
,,,,,,,,,,
P3,Bug,Sometimes when you change tabs in vuetify library there's a few pixels that stands out.,--,New,1,446479789,"Oct 20, 2025 11:10PM",,,
,,,,,,,,,,
P2,Bug,"Step ""pixel_skia_gold_passthrough_ganesh_test on Android device Pixel 6"" failing on builder ""chromium/ci/Android FYI Experimental Release (Pixel 6)""",--,New,0,446873143,"Sep 24, 2025 12:47AM",,,
,,,,,,,,,,
P2,Bug,pixel_skia_gold_passthrough_test failures on Pixel 10,--,New,0,446861923,"Nov 26, 2025 12:27PM",,,
,,,,,,,,,,
