P,Type,Title,Assignee,Status,7D views,ID,Last Modified
P2,Bug,,--,New,0,426594100,"Jun 23, 2025 11:11AM"
,,"Step ""expected_color_pixel_validating_test on Android device Pixel 2"" failing on builder ""chromium/ci/Android Release (Pixel 2)""",,,,,
P2,Bug,,--,New,0,427258783,"Sep 26, 2025 03:49PM"
,,WebRtcDataBrowserTest.CallWithSctpDataAndMedia fails on Pixel 7,,,,,
P2,Bug,,--,New,0,427424624,"Jun 26, 2025 05:09PM"
,,Box shadow appears in a inside of an outline during sub-pixel transform: translate(),,,,,
P2,Bug,,--,New,0,427808173,"Jun 26, 2025 02:43PM"
,,Live notifications stuck on Pixel 7 QPR 1 Beta 2.1,,,,,
P1,Bug,,--,New,1,428272877,"Nov 17, 2025 09:44PM"
,,Pixel 4: i32_arithmetic:remainder_vector_scalar_compound failures,,,,,
P2,Bug,,--,New,0,428740147,"Jul 4, 2025 12:38AM"
,,Testcase applying empty animations to N pixels uses more CPU with Chrome compared to Firefox,,,,,
P3,Bug,,--,New,0,429272275,"Jul 17, 2025 03:08AM"
,,Gestures are not working on my Pixel 9 Pro,,,,,
P2,Bug,How to deploy AICore/Gemini Nano on Pixel/Other devices?,--,New,0,430800812,"Aug 5, 2025 09:32AM"
P2,Bug,Dual SIM call drop issue persists on Pixel 6a even in Android 16 Beta version (QPR builds).,--,New,0,431021034,"Jul 13, 2025 12:33PM"
P3,Bug,,--,New,4,432294346,"Nov 26, 2025 09:06PM"
,,"workgroupUniformLoad ""ComplexStruct"" failures on Pixel 4",,,,,
P2,Bug,Gemini Nano Testing on Google Pixel 8 Pro,--,New,0,432502917,"Jul 18, 2025 08:40AM"
P3,Bug,"Photo App Permission Stuck on ""Allow limited access"" with No Option to Change on Pixel 8a Android 16",--,New,0,435196927,"Jul 30, 2025 10:54PM"
P2,Bug,,--,New,0,435768044,"Aug 7, 2025 04:06AM"
,,Battery life degraded after qpri3 installed on my pixel 6 pro,,,,,
P2,Bug,,--,New,0,436750001,"Nov 8, 2025 01:37AM"
,,Video-related pixel/trace tests crashing on NVIDIA Shield TV devices w/ Android R,,,,,
P2,Bug,Screen Flickering After Android 16 Update on Pixel 8,--,New,0,436880903,"Aug 7, 2025 02:34AM"
P2,Bug,,--,New,0,436887353,"Aug 7, 2025 02:38AM"
,,Battery Draining Quickly After Android 16 Update on Pixel 8,,,,,
P2,Bug,Pixel 11 Katha pixel 12 dikha raha hai phone Nokia 2.4,--,New,0,438116247,"Aug 12, 2025 08:25PM"
P3,Bug,NFC antenna location error in Google pixel 8,--,New,2,438220637,"Aug 14, 2025 04:40AM"
P2,Bug,,--,New,0,438844163,"Aug 15, 2025 07:37AM"
,,[SystemUI][StatusBar][Pixel]The status bar shows an overlap in editing QuickTile and then click the Home key in Android16.,,,,,
P2,Bug,boot fail after flashing AOSP 15 userdebug into Pixel 8,--,New,0,439515460,"Aug 18, 2025 04:58PM"
P2,Bug,NestedScrollInteropConnectionTest failures on Pixel 9 Pro XL,--,New,0,439654341,"Aug 28, 2025 07:21PM"
P2,Bug,,--,New,0,440321528,"Sep 8, 2025 11:39PM"
,,CreateComputePipelines failed with VK_ERROR_INITIALIZATION_FAILED when bool(...) wraps both sides of || (Pixel 9a),,,,,
P2,Bug,Pixel 8 pro failed wifi,--,New,0,441284621,"Sep 19, 2025 09:56AM"
P2,Bug,NFC antenna location is not correct in Samsung and pixel devices.,--,New,4,441549149,"Aug 28, 2025 11:30AM"
P2,Bug,,--,New,0,441752168,"Sep 22, 2025 10:03PM"
,,"Fix the WebGPU ""particle"" sample rand() for Pixel 10",,,,,
P2,Bug,,--,New,0,444386546,"Sep 11, 2025 06:26PM"
,,components_unittests on Android device Pixel 4 failed because of: ModelExecutionFeaturesControllerTest.HistorySearchVisibilityWithXNNPACK,,,,,
P2,Bug,,--,New,0,445357440,"Sep 22, 2025 11:11PM"
,,Android WebView: low frame rate when playing two or more videos in Frame Rendering Stats on Pixel 6,,,,,
P2,Bug,Pixel 6a Black screen then locking up,--,New,0,445733633,"Sep 18, 2025 03:26AM"
P2,Bug,Pixel 6 random popping noise,--,New,0,445992573,"Sep 19, 2025 10:22AM"
P2,Bug,,--,New,0,445967248,"Sep 27, 2025 03:39AM"
,,gl_tests_passthrough failures on Pixel 10,,,,,
P2,Bug,,--,New,0,446124895,"Sep 27, 2025 03:39AM"
,,ExpectedColor_MediaRecorderFromVideoElement fails on Pixel 10,,,,,
P2,Bug,,--,New,0,446122639,"Oct 22, 2025 01:47PM"
,,webgl_conformance_gles_passthrough_tests failures on Pixel 10,,,,,
P2,Bug,Pixel book Go M3 Power On Quirk,--,New,0,446113736,"Sep 19, 2025 10:36PM"
P2,Bug,,--,New,0,446181110,"Sep 27, 2025 03:39AM"
,,android_webview_pixel_skia_gold_test failures on Pixel 10,,,,,
P3,Bug,,--,New,1,446479789,"Oct 20, 2025 11:10PM"
,,Sometimes when you change tabs in vuetify library there's a few pixels that stands out.,,,,,
P2,Bug,,--,New,0,446873143,"Sep 24, 2025 12:47AM"
,,"Step ""pixel_skia_gold_passthrough_ganesh_test on Android device Pixel 6"" failing on builder ""chromium/ci/Android FYI Experimental Release (Pixel 6)""",,,,,
P2,Bug,,--,New,0,446861923,"Nov 26, 2025 12:27PM"
,,pixel_skia_gold_passthrough_test failures on Pixel 10,,,,,
P2,Bug,,--,New,2,446941342,"Nov 19, 2025 01:36PM"
,,webgl2_conformance_gles_passthrough_tests failures on Pixel 10,,,,,
P2,Bug,,--,New,0,448716473,"Oct 6, 2025 09:42PM"
,,pixel 4 timeouts on mapAsync test,,,,,
P2,Bug,,--,New,0,448716479,"Oct 7, 2025 05:51PM"
,,pixel 4 cts failure with timeout for quadSwap vec2<f16>,,,,,
P4,Bug,,--,New,0,452352214,"Oct 16, 2025 09:27PM"
,,Fix SkSL GLES test failure on Pixel 10,,,,,
P2,Bug,Support animation blending for unfinished window minimization/maximization in Pixel Launcher,--,New,0,453961749,"Oct 21, 2025 06:07PM"
P2,Bug,,--,New,0,457887448,"Nov 6, 2025 09:11PM"
,,Pixel 8 disconnects from Non-Tx VAP SSID on Wi-Fi 7 AP with Beacon Protection enabled,,,,,
P3,Bug,Videoes are observed to show only green pixels,--,New,3,457945071,"Nov 5, 2025 06:08PM"
P2,Bug,,--,New,0,459312319,"Nov 11, 2025 05:29PM"
,,ScrollHeight is 3 pixel bigger and cause unwanted scrollbar to appear,,,,,
P2,Bug,Persistent Display Flickering Issue on Pixel 9 Pro XL,--,New,0,459508598,"Nov 11, 2025 07:41AM"
P2,Bug,,--,New,0,460209126,"Nov 13, 2025 04:14AM"
,,SubgroupMatrix E2E tests are failing on Pixel 9,,,,,
P3,Bug,pixel 4 emulator,--,New,0,460276936,"Nov 13, 2025 02:03PM"
P3,Bug,Capture System Activities(System Trace) failed on Pixel 7 device,--,New,2,460581855,"Nov 14, 2025 01:38PM"
P2,Bug,,--,New,0,461500725,"Nov 19, 2025 12:58PM"
,,CLS overlays may need to change with breaking switch to CSS pixels in 144,,,,,
P2,Bug,Pixel 10 Pro: recurrent network drops when using dual SIM (physical SIM + eSIM),--,New,48,461531874,"Nov 26, 2025 12:03AM"
P2,Bug,,--,New,0,461850861,"Nov 19, 2025 02:55PM"
,,CTS abstract float matrix tests failing on Pixel 6,,,,,
P3,Bug,,--,New,6,462577174,"Nov 21, 2025 11:15PM"
,,??????????? ????????????? ??????? ???????? ? ????? (Incorrect calculation of pixels to points conversion).,,,,,
P2,Bug,,--,New,11,462751870,"Nov 22, 2025 06:16PM"
